ED_ID,edname
E02094,Chapelizod
E02095,Cherry Orchard A
E02096,Cherry Orchard B
E02097,Cherry Orchard C
E02098,Crumlin A
E02099,Crumlin B
E02100,Crumlin C
E02101,Crumlin D
E02102,Crumlin E
E02103,Crumlin F
E02104,Decies
E02105,Drumfinn
E02106,Inchicore A
E02107,Inchicore B
E02108,Kilmainham A
E02109,Kilmainham B
E02110,Kilmainham C
E02111,Kimmage A
E02112,Kimmage B
E02113,Kimmage C
E02114,Kimmage D
E02115,Kimmage E
E02116,Kylemore
E02117,Mansion House A
E02118,Mansion House B
E02119,Merchants Quay A
E02120,Merchants Quay B
E02121,Merchants Quay C
E02122,Merchants Quay D
E02123,Merchants Quay E
E02124,Merchants Quay F
E02133,Rathfarnham
E02138,Rathmines West A
E02139,Rathmines West B
E02140,Rathmines West C
E02141,Rathmines West D
E02142,Rathmines West E
E02143,Rathmines West F
E02144,Royal Exchange A
E02145,Royal Exchange B
E02146,St. Kevin's
E02148,Terenure A
E02149,Terenure B
E02150,Terenure C
E02151,Terenure D
E02152,Ushers A
E02153,Ushers B
E02154,Ushers C
E02155,Ushers D
E02156,Ushers E
E02157,Ushers F
E02158,Walkinstown A
E02159,Walkinstown B
E02160,Walkinstown C
E02161,Wood Quay A
E02162,Wood Quay B
E03008,Clondalkin-Moorfield
E03009,Clondalkin-Rowlagh
E03019,Palmerston Village
E03024,Rathfarnham-Hermitage
E03026,Rathfarnham Village
E03042,Templeogue-Kimmage Manor
E03047,Terenure-Cherryfield
E03048,Terenure-Greentrees
E05001,Ballinteer-Broadford
E05002,Ballinteer-Ludford
E05003,Ballinteer-Marley
E05005,Ballinteer-Meadowmount
E05022,Churchtown-Castle
E05023,Churchtown-Landscape
E05024,Churchtown-Nutgrove
E05025,Churchtown-Orwell
E05028,Clonskeagh-Farranboley
E05040,Dundrum-Sweetmount
